,Title,Author,Score,Ratings,Published
308,Dead End Donation (Perfectly Proper Paranormal Museum #8),Kirsten Weiss,4.63,46,2023
309,Leaves of Grass,Walt Whitman,4.12,103266,1855
310,"The Cuckoo's Calling (Cormoran Strike, #1)",Robert Galbraith,3.88,559395,2013
311,City of Dreams,Don Winslow,4.1,6102,2023
312,Wrong For You,Harloe Rae,3.79,6416,2023
313,Friend Zoned,Evelyn Sola,4.55,762,2023
314,The Sun Down Motel,Simone St. James,4.03,131378,2020
315,"Good Vibes, Good Life: How Self-Love Is the Key to Unlocking Your Greatness",Vex King,4.03,24580,2019
316,The Smart Cookie,Jory John,4.24,2465,2021
317,Breaking the Spell: Religion as a Natural Phenomenon,Daniel C. Dennett,3.89,12361,2006
318,圕の大魔術師 7 [Toshokan no Daimajutsushi 7],Mitsu Izumi,4.0,1,2023
319,Whisper,Brian Dearborn,4.04,116,2023
320,"Curvy Girls Can&#39;t Date Cowboys (The Curvy Girls Club, #3)",Kelsie Stelting,4.25,2179,2020
321,Being God&#39;s Image: Why Creation Still Matters,Carmen Joy Imes,4.62,152,2023
322,Desire of my Heart (Shumard Oak Bend #1),Heidi Gray McGill,4.64,894,2020
323,The Perfect Son,Freida McFadden,4.25,69599,2019
324,Morbidly Yours,Ivy Fairbanks,4.29,253,2023
325,"Naked Truth: A Fight Against Racism, Religious Discrimination, and Retaliation in My Federal Government Career",Jean D. Francis,4.81,59,2023
326,The Last Green Valley,Mark T. Sullivan,4.5,50396,2021
327,Homegoing,Yaa Gyasi,4.47,310814,2016
328,The Very Secret Society of Irregular Witches,Sangu Mandanna,4.18,75373,2022
329,The Long Hard Road Out of Hell,Marilyn Manson,3.82,30190,1998
330,Little Monsters,Adrienne Brodeur,3.85,3092,2023
331,Companion Piece,Ali Smith,3.88,4772,2022
332,あやかしトライアングル 14 [Ayakashi Triangle 14],Kentaro Yabuki,3.75,4,2023
333,Spare,Prince Harry,3.91,259913,2023
334,"The Many Lives of Mama Love: A Memoir of Lying, Stealing, Writing, and Healing",Lara Love Hardin,4.54,419,2023
335,Keep It In The Family,John Marrs,4.14,16626,2022
336,Teen Titans: Beast Boy Loves Raven,Kami Garcia,4.19,9768,2021
337,The Words We Keep,Erin  Stewart,4.35,5814,2022
338,"Strange Planet (Strange Planet, #1)",Nathan W. Pyle,4.33,37036,2019
339,The Sandman Vol. 3: Dream Country,Neil Gaiman,4.24,118411,1990
340,"Lightlark (Lightlark, #1)",Alex Aster,3.72,37191,2022
341,"Edge of Dusk (Annie Pederson, #1)",Colleen Coble,4.11,2917,2022
342,The Woman in the Window,A.J. Finn,3.96,730145,2018
343,"Bitter (Pet, #0.5)",Akwaeke Emezi,4.13,4418,2022
344,Despite Your (im)perfections. Dotrzymaj złożonej mi obietnicy,Marta Łabęcka,4.63,10177,2022
345,The Butterfly Circle,Mary Carroll Leoson,4.25,44,2023
346,Where the Sidewalk Ends,Shel Silverstein,4.33,1348551,1974
347,The Holy Bible: King James Version,Anonymous,4.43,277136,1569
348,"The Witch Collector (Witch Walker, #1)",Charissa Weaks,3.94,12646,2021
349,"The Setup (Single in Seattle, #4)",Kristen Proby,4.43,1090,2023
350,The House Swap,Yvette Clark,4.27,191,2023
351,"He Who Fights with Monsters 6 (He Who Fights with Monsters, #6)",Shirtaloon,4.54,8116,2022
352,Dead Line (Cold Case Psychic #22),Pandora Pine,4.7,181,2023
353,Pieces of Forever (River Falls #1),Valerie M. Bodden,4.52,1421,2021
354,The Toxic War on Masculinity: How Christianity Reconciles the Sexes,Nancy R. Pearcey,4.65,142,2023
355,The Drowning Woman,Robyn Harding,4.11,5471,2023
356,"The Pocket Pair (Love Stories in Sheet Cake, Texas, #3)",Emma St. Clair,4.22,1546,2023
357,"New Kid (New Kid, #1)",Jerry Craft,4.17,52442,2019
358,Where Ivy Dares to Grow,Marielle Thompson,3.5,393,2023
