Id,Name,Identity,Alignment,Eyes,Hair,Sex,Alive,Appearances,First_appeared,Universe
4979,Martha Clark ,Public,Good,Blue,White,Female,Yes,266,"1986, October",DC
4980,Dala ,Secret,Bad,Red,Black,Female,Yes,13,"1939, October",DC
4981,Jack Gowan ,Non-dual,Bad,Blue,No,Male,No,2,"2011, January",Marvel
4982,Lynne Harris ,Public,Good,Blue,Blond,Female,Yes,11,"1940, August",Marvel
4983,Doctor Foster ,Public,Bad,Blue,Brown,Male,No,1,"1942, June",Marvel
4984,Daniel Garrett ,Secret,Good,Blue,Brown,Male,No,30,"1986, May",DC
4985,Glazier ,Secret,Bad,Brown,White,Female,Yes,1,"1981, August",Marvel
4986,Khaji Da ,Secret,Good,Brown,Black,Unknown,Yes,121,"1964, June",DC
4987,Syra ,Public,Good,Hazel,Blond,Female,No,1,"1989, May",DC
4988,Thomas Curry ,Public,Good,Blue,Black,Male,Yes,18,"1959, May",DC
4989,Living Totem ,Public,Bad,Green,Brown,Unknown,Yes,3,"1961, June",Marvel
4990,Michael Ryer ,Secret,Bad,Red,Brown,Male,Yes,3,"1993, December",DC
4991,Carlo di Rienzi ,Public,Bad,Green,Black,Male,No,25,"1968, May",DC
4992,Bizarro Lex Luthor ,Secret,Bad,Black,Black,Male,Yes,4,"2007, November",DC
4993,Spectrumonster ,Secret,Bad,Blue,Black,Male,Yes,3,"1987, July",DC
4994,Aloba Dastoor ,Secret,Neutral,Brown,Black,Male,Yes,4,"1994, February",Marvel
4995,Gabriel Summers ,Public,Bad,Blue,Brown,Male,No,45,"2006, January",Marvel
4996,Thrunhild ,Public,Good,Blue,Brown,Female,Yes,1,"1984, December",Marvel
4997,Cleavon Twain ,Secret,Bad,Red,Brown,Male,No,24,"1996, April",Marvel
4998,Crystalia Amaquelin ,Public,Good,Green,Red,Female,Yes,512,"1965, December",Marvel
4999,Alana Jobson ,Secret,Good,Green,Black,Female,Yes,12,"2007, June",Marvel
5000,Randall Truman ,Public,Neutral,Blue,Brown,Male,Yes,5,"1987, August",DC
5001,Bailiff ,Secret,Neutral,Blue,White,Male,Yes,2,"1994, September",Marvel
5002,Illyrie ,Non-dual,Good,Hazel,Black,Female,No,1,"1985, April",Marvel
5003,Glenda Mark ,Public,Good,Blue,Blond,Female,Yes,36,"1972, September",DC
5004,Kimberly Vesco ,Public,Good,Brown,Brown,Female,Yes,2,"2005, May",Marvel
5005,Topher ,Secret,Bad,Brown,Brown,Male,No,6,"2003, December",Marvel
5006,Kendall Stuart ,Public,Good,Blue,Brown,Male,No,3,"1996, March",DC
5007,Lambda-Zero ,Secret,Neutral,Multiple,No,Female,No,23,"2005, March",Marvel
5008,Jemail Karami ,Non-dual,Bad,Blue,Red,Male,Yes,5,"1985, April",Marvel
5009,Benjamin Tibbets ,Secret,Bad,Blue,Blond,Male,No,6,"2000, August",Marvel
5010,Don Jose Del Iturbide ,Secret,Good,Brown,Black,Male,Yes,1,"1952, December",Marvel
5011,Jonathan Hemlock ,Secret,Bad,Brown,Blond,Male,Yes,1,"1978, October",Marvel
5012,Cavalry-Man ,Secret,Bad,Red,Red,Male,Yes,1,"2010, December",DC
5013,Shara ,Public,Good,Green,Bald,Female,No,1,"1990, December",Marvel
5014,Edgar Lascombe ,Secret,Bad,Brown,Brown,Male,Yes,8,"2005, August",Marvel
5015,Mutant Crocodiles ,Secret,Good,Blue,White,Unknown,Yes,6,"2005, November",Marvel
5016,Naomi Kale ,Secret,Good,Blue,Black,Female,No,8,"1997, July",Marvel
5017,Aurora ,Public,Bad,Blue,Black,Female,Yes,1,"1983, November",DC
5018,Kamentin ,Public,Bad,Brown,Bald,Male,No,1,"1942, September",Marvel
5019,Alice ,Non-dual,Neutral,Brown,Blond,Female,Yes,1,"1993, April",Marvel
5020,Raaka ,Secret,Good,Hazel,White,Male,Yes,2,"1960, March",Marvel
5021,Pablo Valdez ,Secret,Good,Brown,Black,Male,Yes,6,"2000, August",DC
5022,Helmut Gruler ,Secret,Good,Blue,Black,Male,No,17,"1978, December",Marvel
5023,Andrea von Strucker ,Secret,Bad,Blue,Blond,Female,No,4,"2008, September",Marvel
5024,Good Looks ,Secret,Good,Brown,Brown,Male,Yes,3,"1975, September",DC
5025,Danielle Blunt ,Secret,Bad,Brown,Blond,Female,Yes,8,"2010, August",Marvel
5026,Erik Saltz ,Public,Bad,Brown,Brown,Male,Yes,1,"1991, September",Marvel
5027,Sidearm ,Secret,Bad,Blue,Red,Male,No,4,"1994, February",DC
5028,Blowfly ,Secret,Bad,Brown,White,Male,Yes,3,"1994, September",Marvel
5029,Arch Murdock ,Non-dual,Bad,Blue,Red,Male,Yes,1,"1946, December",Marvel
5030,Agent Syn ,Secret,Bad,Photocellular,Black,Male,Yes,2,"1980, November",Marvel
5031,Kraa ,Secret,Bad,Blue,Brown,Male,Yes,1,"1961, June",Marvel
5032,Rosalind Sharpe ,Public,Neutral,Brown,Black,Female,Yes,22,"1996, June",Marvel
5033,Wardog ,Secret,Bad,Blue,Black,Male,Yes,1,"1996, January",DC
5034,Quill ,Secret,Neutral,Brown,No,Male,Yes,13,"1985, July",Marvel
5035,George Munson ,Public,Bad,Photocellular,Brown,Male,Yes,1,"1946, December",Marvel
5036,Vern ,Public,Bad,White,Red,Male,Yes,2,"2008, June",Marvel
5037,Panzer ,Secret,Bad,Blue,Brown,Male,No,1,"1996, April",DC
5038,Devos ,Secret,Bad,White,Blond,Male,Yes,20,"1991, December",Marvel
5039,Princess Maru ,Secret,Bad,Red,Black,Female,Yes,2,"2001, September",DC
5040,Throk ,Public,Bad,Purple,Black,Male,Yes,1,"1996, February",Marvel
5041,Angela Yin ,Non-dual,Good,Brown,Black,Female,Yes,29,"1994, August",Marvel
5042,John LaMonica ,Secret,Bad,Brown,Black,Male,No,6,"1995, May",DC
5043,Carina Walters ,Secret,Good,Blue,Blond,Female,Yes,15,"1978, January",Marvel
5044,Joseph Chilton ,Public,Bad,Hazel,Blond,Male,No,46,"1987, February",DC
5045,Madeline Watson ,Secret,Neutral,Brown,Blond,Female,No,8,"1984, December",Marvel
5046,Rav Gavaskar ,Public,Neutral,Brown,Black,Male,Yes,5,"2010, September",Marvel
5047,Book ,Public,Good,Blue,Blond,Female,Yes,3,"2005, February",Marvel
