Mushishi Zoku Shou,TV (10 eps),Apr 2014 - Jun 2014,"289,153 members",https://myanimelist.net/anime/21939/Mushishi_Zoku_Shou,https://cdn.myanimelist.net/r/100x140/images/anime/13/58533.jpg?s=8b4c39ac1694d8b1ad2a1dcc504691f6,8.70
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,TV (12 eps),Oct 2021 - Dec 2021,"796,443 members",https://myanimelist.net/anime/45576/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2,https://cdn.myanimelist.net/r/100x140/images/anime/1028/117777.jpg?s=51c70b8d3ded730debc843006effa91c,8.70
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA (4 eps),Feb 1999 - Sep 1999,"269,276 members",https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen,https://cdn.myanimelist.net/r/100x140/images/anime/1391/120839.jpg?s=bd43f31022c54683198af846655f6b3e,8.70
Odd Taxi,TV (13 eps),Apr 2021 - Jun 2021,"392,809 members",https://myanimelist.net/anime/46102/Odd_Taxi,https://cdn.myanimelist.net/r/100x140/images/anime/1981/113348.jpg?s=9d3e92002db0e698516450efb42e4e59,8.69
One Piece,TV (? eps),Oct 1999 -,"2,182,691 members",https://myanimelist.net/anime/21/One_Piece,https://cdn.myanimelist.net/r/100x140/images/anime/6/73245.jpg?s=81e2039193c1feb8d0d41bda2a3841a8,8.69
Great Teacher Onizuka,TV (43 eps),Jun 1999 - Sep 2000,"790,979 members",https://myanimelist.net/anime/245/Great_Teacher_Onizuka,https://cdn.myanimelist.net/r/100x140/images/anime/13/11460.jpg?s=8134d33ff056d87cfa65345aaec756f9,8.69
Jujutsu Kaisen 2nd Season,TV (23 eps),Jul 2023 -,"391,359 members",https://myanimelist.net/anime/51009/Jujutsu_Kaisen_2nd_Season,https://cdn.myanimelist.net/r/100x140/images/anime/1600/134703.jpg?s=389566a19d25da9f341aa64ac8e5b539,8.68
Fate/stay night Movie: Heaven's Feel - III. Spring Song,Movie (1 eps),Aug 2020 - Aug 2020,"325,531 members",https://myanimelist.net/anime/33050/Fate_stay_night_Movie__Heavens_Feel_-_III_Spring_Song,https://cdn.myanimelist.net/r/100x140/images/anime/1142/112957.jpg?s=5def2155b13d757c74eeee6845c0a871,8.68
The First Slam Dunk,Movie (1 eps),Dec 2022 - Dec 2022,"20,456 members",https://myanimelist.net/anime/45649/The_First_Slam_Dunk,https://cdn.myanimelist.net/r/100x140/images/anime/1745/129284.jpg?s=227145e81dea051b0a5f60ee0aaa93c3,8.68
Violet Evergarden,TV (13 eps),Jan 2018 - Apr 2018,"1,684,746 members",https://myanimelist.net/anime/33352/Violet_Evergarden,https://cdn.myanimelist.net/r/100x140/images/anime/1795/95088.jpg?s=daeb3d4de08db6c56e879eba3de19c36,8.67
